index_col,constituent_col,coef
col_11,col_00,0.079946226188237
col_11,col_07,0.1779039309090936
col_11,col_13,0.1393322143784631
col_11,col_17,0.11298451612436941
col_11,col_18,0.10971251882443962
col_11,col_21,0.11800401473664955
col_11,col_22,0.10711160020243252
col_11,col_36,0.07925819294038057
col_11,col_40,0.07574678569593452
col_20,col_04,0.09572800808169757
col_20,col_07,0.10104431566811982
col_20,col_09,0.08216276449843929
col_20,col_10,0.06244843466508283
col_20,col_13,0.20362320105328438
col_20,col_18,0.07027564385462931
col_20,col_21,0.10627252746288825
col_20,col_22,0.05762923013267847
col_20,col_33,0.049019908897914515
col_20,col_37,0.0671413692938173
col_20,col_43,0.0426102012373329
col_20,col_44,0.0620443951541153
col_42,col_06,0.06754276235950653
col_42,col_08,0.08290919271359681
col_42,col_13,0.11559745089291253
col_42,col_17,0.1923854749797093
col_42,col_19,0.12204662766362956
col_42,col_21,0.13774882150449896
col_42,col_23,0.06723137210304662
col_42,col_36,0.057908508529371044
col_42,col_40,0.09132775577823748
col_42,col_41,0.0653020334754912
col_48,col_04,0.1789062704338344
col_48,col_05,0.5842881914417358
col_48,col_07,0.04776744091280835
col_48,col_19,0.044892074266201745
col_48,col_23,0.10182183341754947
col_48,col_39,0.042324189527870176
col_50,col_19,0.11062716672375913
col_50,col_21,0.13428678817737755
col_50,col_23,0.13359644992048716
col_50,col_32,0.4780205748844137
col_50,col_41,0.1434690202939625
col_26,col_08,0.08222348215848355
col_26,col_13,0.2064671489614302
col_26,col_17,0.2566944965773043
col_26,col_19,0.21551810656368062
col_26,col_21,0.14803442131060618
col_26,col_41,0.09106234442849515
col_30,col_09,0.2240517929669597
col_30,col_19,0.4068280988325883
col_30,col_24,0.06374632592613268
col_30,col_27,0.0826086668434283
col_30,col_40,0.22276511543089111
col_46,col_09,0.3109753702534996
col_46,col_15,0.48171795737145967
col_46,col_32,0.2073066723750408
col_28,col_00,0.5325664287739055
col_28,col_05,0.4674335712260945
col_45,col_13,1.0
col_47,col_01,0.11581166755920975
col_47,col_07,0.09347641806776778
col_47,col_10,0.125145936972672
col_47,col_13,0.17349772301975602
col_47,col_14,0.07546811258239565
col_47,col_17,0.1579235431483963
col_47,col_37,0.07884137367724926
col_47,col_44,0.1798352249725532
col_51,col_02,0.06565765281776512
col_51,col_07,0.07906719421964033
col_51,col_10,0.0634109680608082
col_51,col_13,0.1971032197911716
col_51,col_16,0.06982281649764713
col_51,col_17,0.14742428977554045
col_51,col_19,0.050693303655064303
col_51,col_23,0.183366066056968
col_51,col_27,0.0760049346569743
col_51,col_40,0.06744955446842045
